,address,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
0,Geylang Serai Market,DBS GEYLANG SERAI MARKET AND FOOD CENTRE,1,GEYLANG SERAI,DBS GEYLANG SERAI MARKET AND FOOD CENTRE,1 GEYLANG SERAI DBS GEYLANG SERAI MARKET AND FOOD CENTRE SINGAPORE 402001,402001,35209.8405666817,33217.2692029998,1.31667885583161,103.898102655979
1,Geylang Serai Market,GEYLANG SERAI MARKET,1,GEYLANG SERAI,GEYLANG SERAI MARKET,1 GEYLANG SERAI GEYLANG SERAI MARKET SINGAPORE 402001,402001,35195.9019180359,33222.3878217265,1.31672515005311,103.897977411392
2,Geylang Serai Market,UOB GEYLANG SERAI MARKET,1,GEYLANG SERAI,UOB GEYLANG SERAI MARKET,1 GEYLANG SERAI UOB GEYLANG SERAI MARKET SINGAPORE 402001,402001,35223.7771873726,33223.6269021761,1.31673634930331,103.898227885022
0,Tekka Market,ZHUJIAO CENTRE (TEKKA MARKET),661,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),661 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210661,210661,29871.4457986038,32114.9856929444,1.30671098278725,103.85013440636
1,Tekka Market,ZHUJIAO CENTRE (TEKKA MARKET),662,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),662 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210662,210662,29851.5949349664,32063.7060684133,1.30624722914968,103.849956033902
2,Tekka Market,ZHUJIAO CENTRE (TEKKA MARKET),663,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),663 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210663,210663,29951.9452568432,32001.0205293112,1.30568031708633,103.850857724971
3,Tekka Market,ZHUJIAO CENTRE (TEKKA MARKET),664,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),664 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210664,210664,29980.3038453432,32051.0169729404,1.30613246548155,103.851112543389
4,Tekka Market,TEKKA MARKET,665,BUFFALO ROAD,TEKKA MARKET,665 BUFFALO ROAD TEKKA MARKET SINGAPORE 210665,210665,29924.521525288,32055.9468707871,1.30617705325622,103.85061131325
5,Tekka Market,ZHUJIAO CENTRE (TEKKA MARKET),665,BUFFALO ROAD,ZHUJIAO CENTRE (TEKKA MARKET),665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,210665,29924.3737569908,32056.0217537805,1.30617773048079,103.850609985486
0,Blk 58 New Upper Changi Road,MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD),58,NEW UPPER CHANGI ROAD,MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD),58 NEW UPPER CHANGI ROAD MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD) SINGAPORE 461058,461058,39997.8103255853,34049.1824351028,1.32420087334002,103.941125277547
0,Tanglin Halt Market,TANGLIN HALT MARKET,48A,TANGLIN HALT ROAD,TANGLIN HALT MARKET,48A TANGLIN HALT ROAD TANGLIN HALT MARKET SINGAPORE 148813,148813,24040.1990861287,31433.1024718955,1.30054407507427,103.797737980247
0,People's Park Food Centre,PEOPLE'S PARK FOOD CENTRE,32,NEW MARKET ROAD,PEOPLE'S PARK FOOD CENTRE,32 NEW MARKET ROAD PEOPLE'S PARK FOOD CENTRE SINGAPORE 050032,050032,29029.3480861438,29712.0183655731,1.28497943108466,103.84256768083
