,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,Name
0,BUKIT PANJANG GOVERNMENT HIGH SCHOOL,7,CHOA CHU KANG AVENUE 4,BUKIT PANJANG GOVERNMENT HIGH SCHOOL,7 CHOA CHU KANG AVENUE 4 BUKIT PANJANG GOVERNMENT HIGH SCHOOL SINGAPORE 689809,689809,17432.4458359294,40467.0724023171,1.38224243360043,103.738361221869,Bukit Panjang Government High School
1,HWA CHONG INSTITUTION (AUDITORIUM),661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION (AUDITORIUM),661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION (AUDITORIUM) SINGAPORE 269734,269734,24929.7337209778,34205.2982177679,1.32561493280909,103.805730574839,Hwa Chong Institution
2,HWA CHONG INSTITUTION (SCIENCE RESEARCH CENTRE),661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION (SCIENCE RESEARCH CENTRE),661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION (SCIENCE RESEARCH CENTRE) SINGAPORE 269734,269734,24794.2409987506,34152.7572960891,1.32513975740581,103.804513104992,Hwa Chong Institution
3,HWA CHONG INSTITUTION,661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION SINGAPORE 269734,269734,24926.8156149359,34131.5293299966,1.3249477928719,103.805704361472,Hwa Chong Institution
4,HWA CHONG INSTITUTION (ONG TENG CHEONG SALT CENTRE),661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION (ONG TENG CHEONG SALT CENTRE),661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION (ONG TENG CHEONG SALT CENTRE) SINGAPORE 269734,269734,24448.348166584,34416.4159513339,1.32752415425611,103.80140504104,Hwa Chong Institution
5,HWA CHONG INSTITUTION,673,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION,673 BUKIT TIMAH ROAD HWA CHONG INSTITUTION SINGAPORE 269735,269735,24375.1352411378,34235.5739198215,1.32588867455552,103.800747204253,Hwa Chong Institution
6,HWA CHONG INSTITUTION BOARDING SCHOOL,673,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION BOARDING SCHOOL,673 BUKIT TIMAH ROAD HWA CHONG INSTITUTION BOARDING SCHOOL SINGAPORE 269735,269735,24378.6821040055,34179.150887087,1.32537840511668,103.8007790814,Hwa Chong Institution
7,KRANJI SECONDARY SCHOOL,61,CHOA CHU KANG STREET 51,KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51 KRANJI SECONDARY SCHOOL SINGAPORE 689333,689333,17747.3609606959,41330.5036858637,1.39005109871311,103.741190664845,Kranji Secondary School
8,SENGKANG SECONDARY SCHOOL,10,COMPASSVALE LANE,SENGKANG SECONDARY SCHOOL,10 COMPASSVALE LANE SENGKANG SECONDARY SCHOOL SINGAPORE 545090,545090,35238.8912931653,40940.0948522743,1.38652129134849,103.898365549236,Sengkang Secondary School
9,BOWEN SECONDARY SCHOOL,2,LORONG NAPIRI,BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI BOWEN SECONDARY SCHOOL SINGAPORE 547529,547529,32934.6156324307,39153.0014795549,1.37035994436209,103.877659577677,Bowen Secondary School
10,GREENDALE SECONDARY SCHOOL,51,EDGEDALE PLAINS,GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS GREENDALE SECONDARY SCHOOL SINGAPORE 828866,828866,36722.8223570501,42094.4224047884,1.39696019936894,103.91170014084,Greendale Secondary School
11,QUEENSWAY SECONDARY SCHOOL,2A,MARGARET DRIVE,QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE QUEENSWAY SECONDARY SCHOOL SINGAPORE 149295,149295,24537.5928928228,31397.561654076,1.30022271592188,103.802207291625,Queensway Secondary School
